dliNumber,name,city,campus,province,pgwp,pgwpLink,,,
O264899246972,Columbia Paramedic Academy,"Langley, Victoria",,British Columbia,No, - ,,,
O264560001042,Diving Dynamics Ð Home of the Commercial Diving Institute of Canada (CDI),Kelowna,,British Columbia,No, - ,,,
O264573530022,West Coast Institute for Studies in Anthroposophy,Sechelt,,British Columbia,No, - ,,,
O264603551792,Vancouver Island College,Nanaimo,,British Columbia,No, - ,,,
O259056158042,Orane International College,Victoria,,British Columbia,No, - ,,,
O142582255042,The Cut Fashion Design Academy,Vancouver,,British Columbia,No, - ,,,
O19394452136,Vancouver Acting School,Vancouver,,British Columbia,No, - ,,,
O259092443252,Canada Aviation Academy,"Abbotsford, Kamloops",,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O19394941064,Infofit Educators,"Burnaby, Vancouver",,British Columbia,No, - ,,,
O110735702489,Acadia College,Langley,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O212534420437,Vancouver College of Massage Therapy,Vancouver,,British Columbia,No, - ,,,
O123960086627,Academy of Excellence Hair Design & Aesthetics Ltd.,Victoria,,British Columbia,No, - ,,,
O212477056057,Academy of Learning College - Abbotsford,"Abbotsford, Langley",,British Columbia,No, - ,,,
O212477063807,Academy of Learning College - Langley,Langley,,British Columbia,No, - ,,,
O19395300024,Academy of Learning College - Victoria,"Kamloops, Kelowna, Nanaimo, Victoria",,British Columbia,No, - ,,,
O110096211204,Academy of Learning College Ð Richmond,Richmond,,British Columbia,No, - ,,,
O19361063652,Academy of Learning College Ð Surrey,Surrey,,British Columbia,No, - ,,,
O19376530942,Academy of Learning College Ð Vancouver Ð Broadway,Vancouver,,British Columbia,No, - ,,,
O19376505602,Canadian National Institute of Business,Coquitlam,,British Columbia,No, - ,,,
O19278931852,Acsenda School of Management,Vancouver,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/ascenda-school-management.html,,,
O19394452198,Adler University,Vancouver,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/adler-university.html,,,
O246351578557,Ajna Yoga Teacher Training,Victoria,,British Columbia,No, - ,,,
O19347185182,Alexander College,"Burnaby, Vancouver",,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/alexander-college.html,,,
O19219834012,"Arbutus College of Communication Arts, Business & Technology",Vancouver,,British Columbia,No, - ,,,
O19394940254,ARV Canada College,Richmond,,British Columbia,No, - ,,,
O19219876582,Ashton College,"Abbotsford, Vancouver",,British Columbia,No, - ,,,
O19394940276,Automotive Training Centre,Surrey,,British Columbia,No, - ,,,
O19257719332,Blanche Macdonald Centre,Vancouver,,British Columbia,No, - ,,,
O116475837152," Anderson College of Health, Business and Technology",Surrey ,,British Columbia,No, - ,,,
O19219916952,Canadian College of Naturopathic Medicine Ð Boucher,New Westminster,,British Columbia,No, - ,,,
O19257044542,Brighton College,"Burnaby, Surrey",,British Columbia,No, - ,,,
O19330128542,British Columbia Institute of Technology,"Burnaby, North Vancouver, Richmond, Vancouver",,British Columbia,Yes, - ,,,
O19395300110,Canadian Sports Business Academy,Whistler,,British Columbia,No, - ,,,
O19283903592,Cambria College,Victoria,,British Columbia,No, - ,,,
O19394940342,Cambridge College,Burnaby,,British Columbia,No, - ,,,
O19361235542,Camosun College,Victoria,,British Columbia,Yes, - ,,,
O116342294647,Can-Quest ESL Academy,North Vancouver,,British Columbia,No, - ,,,
O140788898652,Canada College of Arts and Business ,Vancouver,,British Columbia,No, - ,,,
O142484375262,Canada International Royal Arts College,Vancouver,,British Columbia,No, - ,,,
O110027361097,Canadian Aviation College,Pitt Meadows,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O19394940354,Canadian Baptist Seminary,Langley,,British Columbia,No, - ,,,
O19352621432,Canadian College,Vancouver,,British Columbia,No, - ,,,
O19352470312,Canadian College of English Language,Vancouver,,British Columbia,No, - ,,,
O110684673294,Canadian College of Performing Arts,Victoria,,British Columbia,No, - ,,,
O19283908462,Canadian College of Shiatsu Therapy,"North Vancouver, Vancouver",,British Columbia,No, - ,,,
O19240322772,Western British Columbia Polytechnic College,Richmond,,British Columbia,No, - ,,,
O110207076237,Canadian Flight Centre (CFC),"Kamloops, Pitt Meadows",,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O116149580707,Canadian School of Natural Nutrition Vancouver Island,"Nanaimo, Victoria",,British Columbia,No, - ,,,
O19274549462,Languages Across Borders,Vancouver,,British Columbia,No, - ,,,
O19301323922,ILAC Canadian Tourism College,"Surrey, Vancouver",,British Columbia,No, - ,,,
O19280078102,Capilano University,"North Vancouver, Sechelt",,British Columbia,Yes, - ,,,
O19283932632,Capital College,Richmond,,British Columbia,No, - ,,,
O254785080177,Career City College,Kelowna,,British Columbia,No, - ,,,
O19220052602,Central College,New Westminster,,British Columbia,No, - ,,,
O19283900882,Centre for Arts and Technology,"Kelowna, Surrey",,British Columbia,No, - ,,,
O19395300152,Chartered Professional Accountants of British Columbia (CPABC),Vancouver,,British Columbia,No, - ,,,
O19280114462,Chinook Helicopters (1982) Ltd.,Abbotsford,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O19361040422,City University of Seattle,"Langford, Vancouver",,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/city-university-seattle.html,,,
O19371018112,Clearmind International Institute Inc.,"Langley, Vancouver",,British Columbia,No, - ,,,
O19394940242,Cloud Nine College Ltd.,Vancouver,,British Columbia,No, - ,,,
O19377035282,Coastal Pacific Aviation Ltd.,Abbotsford,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O143533237562,Vancouver Premier College of Business and Management Ltd,Vancouver ,,British Columbia,No, - ,,,
O116475837179,CodeCore,New Westminster,,British Columbia,No, - ,,,
O143703092532,DEA Canadian College,North Vancouver,,British Columbia,No, - ,,,
O19832975987,Collège Éducacentre,"Prince George, Vancouver, Victoria",,British Columbia,No, - ,,,
O19360977332,College of New Caledonia,"Burns Lake, Fort St. James, Fraser Lake, Mackenzie, Prince George, Quesnel, Vanderhoof, Valemount",,British Columbia,Yes, - ,,,
O19377233362,College of the Rockies,"Cranbrook, Creston, Fernie, Golden, Invermere, Kimberley",,British Columbia,Yes, - ,,,
O19394940898,Columbia Bible College,Abbotsford,,British Columbia,No, - ,,,
O19279591302,Columbia College,Vancouver,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/columbia-college.html,,,
O19244321962,Coquitlam College,Coquitlam,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/coquitlam-college.html,,,
O19274576342,Cornerstone International Community College of Canada,Vancouver,,British Columbia,No, - ,,,
O19280180922,Corpus Christi College,Vancouver,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/corpus-christi-college.html,,,
O19275297052,Create Career College,"Burnaby, Vancouver",,British Columbia,No, - ,,,
O130389245177,Keystone College Ltd.,"Courtenay, Surrey",,British Columbia,No, - ,,,
O19351714242,Discovery Community College,"Campbell River, Courtenay, Maple Ridge, Nanaimo, Parksville, Surrey",,British Columbia,No, - ,,,
O19330170302,Dominion Herbal College,Burnaby,,British Columbia,No, - ,,,
O19360973702,Douglas College,"Coquitlam, New Westminster, Surrey",,British Columbia,Yes, - ,,,
O19394940944,Drake Medox College,"Surrey, Vancouver",,British Columbia,No, - ,,,
O261679968772,DiveSafe International,Campbell River,,British Columbia,No, - ,,,
O19280217882,EC Vancouver,Vancouver,,British Columbia,No, - ,,,
O19314246102,EF International Language Campus,"Vancouver, Victoria",,British Columbia,No, - ,,,
O19360978002,Bayswater Vancouver,Vancouver,,British Columbia,No, - ,,,
O19361238482,Royal Metro College,Coquitlam,,British Columbia,No, - ,,,
O19361259712,Emily Carr University of Art and Design,Vancouver,,British Columbia,Yes, - ,,,
O143477803312,Fraser Coastal International College,Richmond,,British Columbia,No, - ,,,
O19330008162,Eton College,Vancouver,,British Columbia,No, - ,,,
O19275179522,OIEG Oxford International Education Group,Vancouver,,British Columbia,No, - ,,,
O19394940966,Excel Career College,Courtenay,,British Columbia,No, - ,,,
O19227134842,Fairleigh Dickinson University (Vancouver),Vancouver,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/fairleigh-dickinson-university-vancouver.html,,,
O256618792847,First College,"Kelowna, West Kelowna",,British Columbia,No, - ,,,
O19330446102,Focus College,"Kelowna, Surrey",,British Columbia,No, - ,,,
O19396094599,Franklin English Language College,Vancouver,,British Columbia,No, - ,,,
O19239078442,Fraser International College,Burnaby,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/fraser-international-college.html,,,
O19361015442,GEOS Languages Plus,"Vancouver, Victoria",,British Columbia,No, - ,,,
O19238785512,Gastown Business College,Vancouver,,British Columbia,No, - ,,,
O19279807782,Gateway College,Vancouver,,British Columbia,No, - ,,,
O19347491712,Global College,Vancouver,,British Columbia,No, - ,,,
O19319050762,Global Village Victoria,Victoria,,British Columbia,No, - ,,,
O110656686527,Goh Ballet Academy,Vancouver,,British Columbia,No, - ,,,
O116736261697,Granville College,Vancouver,,British Columbia,No, - ,,,
O19352522932,Greystone College of Business and Technology,Vancouver,,British Columbia,No, - ,,,
O19618862812,Hanson College,"New Westminster, Vancouver",,British Columbia,No, - ,,,
O19279689162,Heli-College Canada Training Inc.,Langley,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O132232057367,Heritage Community College,Surrey,,British Columbia,No, - ,,,
O19395639240,IH Career College,Vancouver,,British Columbia,No, - ,,,
O110957942277,ILAC International College,Vancouver,,British Columbia,No, - ,,,
O19275396842,ILSC Vancouver,Vancouver,,British Columbia,No, - ,,,
O19279658882,ISS Language and Career College of BC,Vancouver,,British Columbia,No, - ,,,
O19395639663,In Focus Film School,Vancouver,,British Columbia,No, - ,,,
O137690849762,Insignia College,"Delta, Surrey",,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O19279542632,Institute of Technology Development of Canada (ITD),Vancouver,,British Columbia,No, - ,,,
O19395639387,Interior Academy,Kamloops,,British Columbia,No, - ,,,
O19394941076,Tzu Chi International College of Traditional Chinese Medicine (TCICTCM),Vancouver,,British Columbia,No, - ,,,
O19395639399,International Flight Centre Inc.,Delta,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O19279619012,International House Vancouver,"Vancouver, Whistler",,British Columbia,No, - ,,,
O19283901032,International Language Academy of Canada (ILAC),Vancouver,,British Columbia,No, - ,,,
O110265135107,Island Coastal Aviation Inc.,Pitt Meadows,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O19283904182,JCI Institute,Vancouver,,British Columbia,No, - ,,,
O19394941140,Justice Institute of British Columbia,"Chilliwack, Kelowna, Maple Ridge, New Westminster, Victoria",,British Columbia,Yes, - ,,,
O19394941182,Kaplan International Languages,Vancouver,,British Columbia,No, - ,,,
O124191974237,Kelowna College of Professional Counselling,Kelowna,,British Columbia,No, - ,,,
O19256958102,Kootenay Columbia College of Integrative Health Sciences,Nelson,,British Columbia,No, - ,,,
O19283913752,Kosmetae Academy,Abbotsford,,British Columbia,No, - ,,,
O19395639473,Kutenai Art Therapy Institute,Nelson,,British Columbia,No, - ,,,
O19350676872,Kwantlen Polytechnic University,"Cloverdale, Langley, Richmond,Surrey",,British Columbia,Yes, - ,,,
O19275426742,LaSalle College Vancouver,"Kamloops, Vancouver, Victoria",,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/lasalle-college.html,,,
O19319074622,Langara College,Vancouver,,British Columbia,Yes, - ,,,
O19395299244,Langley Flying School,Langley,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O19283928542,Language Studies International (LSI),Vancouver,,British Columbia,No, - ,,,
O122551197237,Legends Academy,Abbotsford,,British Columbia,No, - ,,,
O110684673337,Lighthouse Labs,Vancouver,,British Columbia,No, - ,,,
O19274961822,Lost Boys Studios - School of Visual Effects,Vancouver,,British Columbia,No, - ,,,
O19375649052,Madlab School of Fitness,Vancouver,,British Columbia,No, - ,,,
O263573449582,M.C. College,Kelowna,,British Columbia,No, - ,,,
O19395299306,Mennonite Brethren Biblical Seminary,Langley,,British Columbia,No, - ,,,
O19329963492,Metropolitan Community College,Vancouver,,British Columbia,No, - ,,,
O113462258677,Montair,Pitt Meadows,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O19301054682,Montessori Training Centre of British Columbia,Vancouver,,British Columbia,No, - ,,,
O19395299350,Mountain Transport Institute Ltd. Castlegar,Castlegar,,British Columbia,No, - ,,,
O19274696442,New Image College,Vancouver,,British Columbia,No, - ,,,
O19280343742,New Link College,"Burnaby, Richmond",,British Columbia,No, - ,,,
O19280365272,New York Institute of Technology,Vancouver,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/new-york-institute-technology.html,,,
O19395299432,Nicola Valley Institute of Technology,"Burnaby, Merritt",,British Columbia,Yes, - ,,,
O19301182602,North Island College,"Campbell River, Courtenay/Comox Valley, Port Alberni, Port Hardy, Ucluelet",,British Columbia,Yes, - ,,,
O142031583162,Northeastern University,Vancouver,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/northeastern-university-bc.html,,,
O19395299444,Northern Lights College,"Chetwynd, Dawson Creek, Fort Nelson, Fort St John, Tumbler Ridge",,British Columbia,Yes, - ,,,
O19330361712,Northwest Baptist Seminary,Langley,,British Columbia,No, - ,,,
O110095977911,Coast Mountain College,"Hazelton, Houston, Kitimat, Prince Rupert, Masset (Haida Gwaii), Queen Charlotte, Smithers, Terrace",,British Columbia,Yes, - ,,,
O19395299466,Northwest Culinary Academy of Vancouver,Vancouver,,British Columbia,No, - ,,,
O19395299488,Okanagan College,"Kelowna, Oliver, Penticton, Revelstoke, Salmon Arm, Summerland, Vernon",,British Columbia,Yes, - ,,,
O138327915822,Okanagan Mountain Helicopters FTU Ltd.,Kelowna,,British Columbia,Yes (Details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O247767381127,Okanagan Valley College of Massage Therapy Ltd.,Vernon,,British Columbia,No, - ,,,
O19347439002,Omni College,Richmond,,British Columbia,No, - ,,,
O19394451545,Orca Institute,"New Westminster, Vancouver",,British Columbia,No, - ,,,
O19329994642,Oshio College of Acupuncture and Herbology,Victoria,,British Columbia,No, - ,,,
O19395639631,Pacific DanceArts,Vancouver,,British Columbia,No, - ,,,
O19394451567,Pacific Design Academy,Victoria,,British Columbia,No, - ,,,
O19274466542,Pacific Flying Club,Delta,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O19238828022,Pacific Institute of Culinary Arts,Vancouver,,British Columbia,No, - ,,,
O19394451600,Pacific Life Bible College,Surrey,,British Columbia,No, - ,,,
O19394451662,Pacific Link College,"Burnaby, Surrey",,British Columbia,No, - ,,,
O19304067532,Pacific Rim College,Victoria,,British Columbia,No, - ,,,
O116542595727,Pacific Rim Aviation Academy Inc.,Pitt Meadows,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O19394451698,Pacific Rim Early Childhood Institute Inc.,Saanichton,,British Columbia,No, - ,,,
O19395639737,Pearson College UWC,Victoria,,British Columbia,No, - ,,,
O262347512072,Barclay College,Burnaby,,British Columbia,No, - ,,,
O19274398652,Vancouver Premier College of Arts and Science,Burnaby,,British Columbia,No, - ,,,
O246621852107,Principal Air,Abbotsford,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O19238920192,Professional Flight Centre,Delta,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O19395639759,Quantum College,Richmond,,British Columbia,No, - ,,,
O19377267862,Quest University Canada,Squamish,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/quest-university-canada.html,,,
O19283912352,Regent College,Vancouver,,British Columbia,No, - ,,,
O19273650972,Rhodes Wellness College Ltd.,Vancouver,,British Columbia,No, - ,,,
O142488561162,Royal Bridge College,Coquitlam,,British Columbia,No, - ,,,
O19330635812,Royal Roads University,Victoria,,British Columbia,Yes, - ,,,
O19330716802,SAE Institute,North Vancouver,,British Columbia,No, - ,,,
O19395639791,SELC College,Vancouver,,British Columbia,No, - ,,,
O19330751052,SELC Language College,Vancouver,,British Columbia,No, - ,,,
O19394940220,All Body Laser Corp. Training Institute,Port Coquitlam,,British Columbia,No, - ,,,
O19394452152,Sea Land Air Flight Centre,"Delta, Richmond",,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O19360990072,Selkirk College,"Castlegar, Grand Forks, Kaslo Centre, Nakusp, Nelson, Trail",,British Columbia,Yes, - ,,,
O19329910782,Seminary of Christ the King,Mission,,British Columbia,No, - ,,,
O19394452174,Senniyo Aesthetics International School of Canada Inc.,Richmond,,British Columbia,No, - ,,,
O18781994282,Simon Fraser University (SFU),"Burnaby, Surrey, Vancouver",,British Columbia,Yes, - ,,,
O19396094731,SkyQuest Aviation Ltd.,Langley,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O19278865162,Sprott Shaw College,"Abbotsford, Burnaby, Chilliwack, Kamloops, Kelowna, Maple Ridge, Nanaimo, New Westminster, Osoyoos, Penticton, Richmond, Surrey, Vancouver, Victoria",,British Columbia,No, - ,,,
O19283917732,Sprott Shaw Language College,"Vancouver, Victoria",,British Columbia,No, - ,,,
O19352161652,St. George International College,Vancouver,,British Columbia,No, - ,,,
O19395299510,St. Giles Vancouver,Vancouver,,British Columbia,No, - ,,,
O144740585612,St. MarkÕs College,Vancouver,,British Columbia,No, - ,,,
O19283910772,Stenberg College,"Duncan, Kamloops, Surrey, Vernon",,British Columbia,No, - ,,,
O19279828772,Sterling College,"Surrey, Vancouver",,British Columbia,No, - ,,,
O19330780272,Summit Pacific College,Abbotsford,,British Columbia,No, - ,,,
O19361007342,Tamwood Careers,"Vancouver, Whistler",,British Columbia,No, - ,,,
O19280516442,Tamwood Language Centres,"Vancouver, Whistler",,British Columbia,No, - ,,,
O245272133587,Taylor Pro Training,Kelowna,,British Columbia,No, - ,,,
O243191415557,The Hair Art Academy,"Langley, Surrey",,British Columbia,No, - ,,,
O19395639374,The Institute of Holistic Nutrition,Vancouver,,British Columbia,No, - ,,,
O19395299578,Think Tank Training Centre,North Vancouver,,British Columbia,No, - ,,,
O19395299610,Thompson Rivers University,"Kamloops, Williams Lake",,British Columbia,Yes, - ,,,
O19361274462,Torchbearers Capernwray Canada Society,Thetis Island,,British Columbia,No, - ,,,
O19347055392,Trinity Western University,"Langley, Richmond",,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/trinity-western-university.html,,,
O19283932472,Universal Learning Institute,"Richmond, Vancouver",,British Columbia,No, - ,,,
O19377235822,University Canada West,Vancouver,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/university-canada-west.html,,,
O19330231062,University of British Columbia (UBC),"Kelowna, Vancouver",,British Columbia,Yes, - ,,,
O19283889692,University of Northern British Columbia,"Fort St. John, Prince George, Quesnel, Terrace",,British Columbia,Yes, - ,,,
O19280533442,University of Victoria,Victoria,,British Columbia,Yes, - ,,,
O19395299642,University of the Fraser Valley,"Abbotsford, Chilliwack, Hope, Mission",,British Columbia,Yes, - ,,,
O19386095472,VGC International College,Vancouver,,British Columbia,No, - ,,,
O19395299852,VanWest College (Kelowna),Kelowna,,British Columbia,No, - ,,,
O19283891072,VanWest College (Vancouver),Vancouver,,British Columbia,No, - ,,,
O212566030007,Vancouver Academy of Dramatic Arts,Vancouver,,British Columbia,No, - ,,,
O19280560262,Vancouver Academy of Music,Vancouver,,British Columbia,No, - ,,,
O19283928982,Vancouver Animation School,Vancouver,,British Columbia,No, - ,,,
O19275386392,Vancouver Art Therapy Institute,Vancouver,,British Columbia,No, - ,,,
O19280573292,Vancouver Beijing College of Chinese Medicine,Richmond,,British Columbia,No, - ,,,
O19395299664,Vancouver Career College (Burnaby) Inc.,"Abbotsford, Burnaby, Chilliwack, Coquitlam, Kelowna, Richmond, Surrey, Vancouver, Victoria",,British Columbia,No, - ,,,
O111991452477,Vancouver College of Counsellor Training,Vancouver,,British Columbia,No, - ,,,
O19301369352,Vancouver College of Dental Hygiene Inc.,New Westminster,,British Columbia,No, - ,,,
O19279717512,Vancouver Community College,Vancouver,,British Columbia,Yes, - ,,,
O19239015912,Vancouver Film School,Vancouver,,British Columbia,No, - ,,,
O19331363352,Vancouver Institute of Media Arts (VanArts),Vancouver,,British Columbia,No, - ,,,
O19283898312,Vancouver International College,Vancouver,,British Columbia,No, - ,,,
O111345278377,Vancouver Island School of Art,Victoria,,British Columbia,No, - ,,,
O19395299688,Vancouver Island University,"Duncan, Nanaimo, Parksville, Powell River",,British Columbia,Yes, - ,,,
O19280589592,Vancouver Premier College of Hotel Management,Vancouver,,British Columbia,No, - ,,,
O119520583367,Vancouver School of Healing Arts,Vancouver,,British Columbia,No, - ,,,
O19407411913,Vancouver School of Theology,Vancouver,,British Columbia,No, - ,,,
O19347351442,Victoria Academy of Ballet,Victoria,,British Columbia,No, - ,,,
O246912351437,Victoria Academy of Dramatic Arts,Victoria,,British Columbia,No, - ,,,
O19395299874,Edison College Canada,Victoria,,British Columbia,No, - ,,,
O122562157147,Victoria Conservatory of Music,Victoria,,British Columbia,No, - ,,,
O19283898542,Victoria Flying Club,Victoria,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/flight-schools.html,,,
O19305771772,Wales Young Institute,Vancouver,,British Columbia,No, - ,,,
O19395299928,West Coast College of Massage Therapy,"New Westminster, Victoria",,British Columbia,No, - ,,,
O19361275312,Westcoast Adventure College,Sooke,,British Columbia,No, - ,,,
O19396094295,Western Community College,"Abbotsford, Surrey, Prince George",,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/western-community-college.html,,,
O19395299940,Western Maritime Institute,"Ladysmith, Steveston",,British Columbia,No, - ,,,
O273898508172,Westminster College,Surrey,,British Columbia,No, - ,,,
O19273949312,Whistler Adventure School,Whistler,,British Columbia,No, - ,,,
O246050646187,Windsong College of Healing Arts,Port Alberni,,British Columbia,No, - ,,,
O19280640022,Winston College,New Westminster,,British Columbia,No, - ,,,
O129034707957,Yorkville University,Vancouver,,British Columbia,Yes (details),/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list/yorkville-university.html,,,
O19274183992,iTTTi Vancouver,Vancouver,,British Columbia,No, - ,,,
O19350928592,inlingua Victoria College of Languages,Victoria,,British Columbia,No, - ,,,
O134304821852,Canadian College of Technology and Business,"Vancouver, Delta",,British Columbia,No, - ,,,
O286020869262,Hair Inc Academy,Edmonton,Edmonton,Alberta,No, - ,,,
O285681840312,Bredin College,Edmonton,Main Campus,Alberta,No, - ,,,
O285681840312,Bredin College,Red Deer,Red Deer Campus,Alberta,No, - ,,,
O285681840312,Bredin College,Spruce Grove,Spruce Grove Campus,Alberta,No, - ,,,
O156783557542,ULethbridge International College Calgary,Calgary,Calgary,Alberta,No, - ,,,
O156650029222,Rosebud School of the Arts,Rosebud,Rosebud,Alberta,No, - ,,,
O281802098042,GD College,Calgary,Calgary,Alberta,No, - ,,,
O278527539112,Global Village Calgary,Calgary,Calgary,Alberta,No, - ,,,
O278565506082,Prairie Western College Inc.,Calgary,Calgary,Alberta,No, - ,,,
